split,edge_id,source_indices,target_indices,source,target,gc,gaussian_te,gaussian_cmi,canonical_cs,gc_canonical_error
confirmation,000001.SS+399001.SZ->IMOEX.ME+^AXJO,0;1,2;3,000001.SS;399001.SZ,IMOEX.ME;^AXJO,0.01553950088754874,0.00776975044377437,0.00776975044377437,0.0039030449693212904,2.4303475898435067e-15
confirmation,000001.SS+399001.SZ->IMOEX.ME+^DJI,0;1,2;4,000001.SS;399001.SZ,IMOEX.ME;^DJI,0.0031602785252395904,0.0015801392626197952,0.0015801392626197952,0.0007909976563306035,1.1718057080223332e-15
confirmation,000001.SS+399001.SZ->IMOEX.ME+^GSPC,0;1,2;5,000001.SS;399001.SZ,IMOEX.ME;^GSPC,0.0034059716468206602,0.0017029858234103301,0.0017029858234103301,0.0008524823258055451,-7.919012667834124e-16
confirmation,000001.SS+399001.SZ->IMOEX.ME+^HSI,0;1,2;6,000001.SS;399001.SZ,IMOEX.ME;^HSI,0.010704843842358258,0.005352421921179129,0.005352421921179129,0.002685563932990912,-5.296110772157192e-15
confirmation,000001.SS+399001.SZ->IMOEX.ME+^IXIC,0;1,2;7,000001.SS;399001.SZ,IMOEX.ME;^IXIC,0.003609245797999705,0.0018046228989998525,0.0018046228989998525,0.0009033822704565985,-4.753142324176451e-16
confirmation,000001.SS+399001.SZ->IMOEX.ME+^KS11,0;1,2;8,000001.SS;399001.SZ,IMOEX.ME;^KS11,0.009756577333028815,0.004878288666514408,0.004878288666514408,0.002447731499813954,-1.3530843112619095e-16
confirmation,000001.SS+399001.SZ->IMOEX.ME+^N100,0;1,2;9,000001.SS;399001.SZ,IMOEX.ME;^N100,0.0038255113967551324,0.0019127556983775662,0.0019127556983775662,0.0009571221902417139,-1.5551795962132076e-15
confirmation,000001.SS+399001.SZ->IMOEX.ME+^N225,0;1,2;10,000001.SS;399001.SZ,IMOEX.ME;^N225,0.01730070063628375,0.008650350318141875,0.008650350318141875,0.004351529132422516,2.2724877535296173e-15
confirmation,000001.SS+399001.SZ->IMOEX.ME+^NZ50,0;1,2;11,000001.SS;399001.SZ,IMOEX.ME;^NZ50,0.004087374521859033,0.0020436872609295165,0.0020436872609295165,0.0010229097649373947,-3.075664722906879e-15
confirmation,000001.SS+399001.SZ->IMOEX.ME+^STI,0;1,2;12,000001.SS;399001.SZ,IMOEX.ME;^STI,0.00623460256194619,0.003117301280973095,0.003117301280973095,0.0015616053195409675,-4.909267437014364e-15
confirmation,000001.SS+399001.SZ->IMOEX.ME+^STOXX50E,0;1,2;13,000001.SS;399001.SZ,IMOEX.ME;^STOXX50E,0.002395378538068371,0.0011976892690341856,0.0011976892690341856,0.0005993784991076442,9.961649560796815e-16
confirmation,000001.SS+399001.SZ->^AXJO+^DJI,0;1,3;4,000001.SS;399001.SZ,^AXJO;^DJI,0.029918946439604355,0.014959473219802177,0.014959473219802177,0.0075584355618471,-1.1796119636642288e-15
confirmation,000001.SS+399001.SZ->^AXJO+^GSPC,0;1,3;5,000001.SS;399001.SZ,^AXJO;^GSPC,0.03251989909775688,0.01625994954887844,0.01625994954887844,0.008227771437758248,-7.355227538141662e-16
confirmation,000001.SS+399001.SZ->^AXJO+^HSI,0;1,3;6,000001.SS;399001.SZ,^AXJO;^HSI,0.012127568363624164,0.006063784181812082,0.006063784181812082,0.003045652087740446,8.009218288584918e-15
confirmation,000001.SS+399001.SZ->^AXJO+^IXIC,0;1,3;7,000001.SS;399001.SZ,^AXJO;^IXIC,0.03445788096679436,0.01722894048339718,0.01722894048339718,0.008721532437569257,-8.743006318923108e-16
confirmation,000001.SS+399001.SZ->^AXJO+^KS11,0;1,3;8,000001.SS;399001.SZ,^AXJO;^KS11,0.0112602475092487,0.00563012375462435,0.00563012375462435,0.0028237942935827876,-3.0826036168107862e-15
confirmation,000001.SS+399001.SZ->^AXJO+^N100,0;1,3;9,000001.SS;399001.SZ,^AXJO;^N100,0.03992194554776063,0.019960972773880314,0.019960972773880314,0.010127149454337845,3.677613769070831e-16
confirmation,000001.SS+399001.SZ->^AXJO+^N225,0;1,3;10,000001.SS;399001.SZ,^AXJO;^N225,0.01633539283294283,0.008167696416471415,0.008167696416471415,0.004099854652395441,-2.8796409701215e-16
confirmation,000001.SS+399001.SZ->^AXJO+^NZ50,0;1,3;11,000001.SS;399001.SZ,^AXJO;^NZ50,0.008599810756660276,0.004299905378330138,0.004299905378330138,0.0021568262323126306,4.649058915617843e-16
confirmation,000001.SS+399001.SZ->^AXJO+^STI,0;1,3;12,000001.SS;399001.SZ,^AXJO;^STI,0.010788474899349865,0.005394237449674932,0.005394237449674932,0.0027069357696115,2.1545265571631944e-15
confirmation,000001.SS+399001.SZ->^AXJO+^STOXX50E,0;1,3;13,000001.SS;399001.SZ,^AXJO;^STOXX50E,0.04358338525162253,0.021791692625811265,0.021791692625811265,0.01107072613375233,-1.3253287356462806e-15
confirmation,000001.SS+399001.SZ->^DJI+^GSPC,0;1,4;5,000001.SS;399001.SZ,^DJI;^GSPC,0.007309376937534751,0.0036546884687673753,0.0036546884687673753,0.0018319305487286422,5.0378104465842455e-14
confirmation,000001.SS+399001.SZ->^DJI+^HSI,0;1,4;6,000001.SS;399001.SZ,^DJI;^HSI,0.008138701015536043,0.004069350507768021,0.004069350507768021,0.0020399358294128263,-7.407269242420966e-16
confirmation,000001.SS+399001.SZ->^DJI+^IXIC,0;1,4;7,000001.SS;399001.SZ,^DJI;^IXIC,0.0017354432472771464,0.0008677216236385732,0.0008677216236385732,0.0004340049665512531,9.529269734409596e-15
confirmation,000001.SS+399001.SZ->^DJI+^KS11,0;1,4;8,000001.SS;399001.SZ,^DJI;^KS11,0.005455320180047352,0.002727660090023676,0.002727660090023676,0.0013656905466326512,1.867429821889033e-15
confirmation,000001.SS+399001.SZ->^DJI+^N100,0;1,4;9,000001.SS;399001.SZ,^DJI;^N100,0.0017971486751946486,0.0008985743375973243,0.0008985743375973243,0.0004494651429497715,-1.560383766641138e-15
confirmation,000001.SS+399001.SZ->^DJI+^N225,0;1,4;10,000001.SS;399001.SZ,^DJI;^N225,0.02518513162315017,0.012592565811575085,0.012592565811575085,0.006353262960730279,5.377642775528102e-16
confirmation,000001.SS+399001.SZ->^DJI+^NZ50,0;1,4;11,000001.SS;399001.SZ,^DJI;^NZ50,0.004477439047185783,0.0022387195235928914,0.0022387195235928914,0.001120633642825344,3.8337388819087437e-16
confirmation,000001.SS+399001.SZ->^DJI+^STI,0;1,4;12,000001.SS;399001.SZ,^DJI;^STI,0.0038707873982453123,0.0019353936991226561,0.0019353936991226561,0.0009688103222137831,4.891920202254596e-16
confirmation,000001.SS+399001.SZ->^DJI+^STOXX50E,0;1,4;13,000001.SS;399001.SZ,^DJI;^STOXX50E,0.0010264517166156395,0.0005132258583078197,0.0005132258583078197,0.0002566934246286982,-1.4664918585038933e-15
confirmation,000001.SS+399001.SZ->^GSPC+^HSI,0;1,5;6,000001.SS;399001.SZ,^GSPC;^HSI,0.007988614471958755,0.003994307235979377,0.003994307235979377,0.0020030591353407054,-1.9220736113823023e-15
confirmation,000001.SS+399001.SZ->^GSPC+^IXIC,0;1,5;7,000001.SS;399001.SZ,^GSPC;^IXIC,0.002496130621473469,0.0012480653107367345,0.0012480653107367345,0.000624570993444944,-1.247960068617715e-14
confirmation,000001.SS+399001.SZ->^GSPC+^KS11,0;1,5;8,000001.SS;399001.SZ,^GSPC;^KS11,0.004785909004699107,0.0023929545023495535,0.0023929545023495535,0.0011982084945985684,-3.8614944575243726e-15
confirmation,000001.SS+399001.SZ->^GSPC+^N100,0;1,5;9,000001.SS;399001.SZ,^GSPC;^N100,0.0014404930008140582,0.0007202465004070291,0.0007202465004070291,0.0003603104471771461,-1.3619747690762907e-15
confirmation,000001.SS+399001.SZ->^GSPC+^N225,0;1,5;10,000001.SS;399001.SZ,^GSPC;^N225,0.02458733489884679,0.012293667449423396,0.012293667449423396,0.006202672521058275,4.371503159461554e-16
confirmation,000001.SS+399001.SZ->^GSPC+^NZ50,0;1,5;11,000001.SS;399001.SZ,^GSPC;^NZ50,0.004850631341152933,0.0024253156705764667,0.0024253156705764667,0.0012147865626479157,6.2363308961366215e-16
confirmation,000001.SS+399001.SZ->^GSPC+^STI,0;1,5;12,000001.SS;399001.SZ,^GSPC;^STI,0.0035868944453660845,0.0017934472226830422,0.0017934472226830422,0.0008979275498248992,2.2100377083944522e-15
confirmation,000001.SS+399001.SZ->^GSPC+^STOXX50E,0;1,5;13,000001.SS;399001.SZ,^GSPC;^STOXX50E,0.0010478153570652182,0.0005239076785326091,0.0005239076785326091,0.0002620090854881129,-1.95590071916385e-15
confirmation,000001.SS+399001.SZ->^HSI+^IXIC,0;1,6;7,000001.SS;399001.SZ,^HSI;^IXIC,0.00806620004481573,0.004033100022407865,0.004033100022407865,0.002022251711199122,1.807581861967833e-15
confirmation,000001.SS+399001.SZ->^HSI+^KS11,0;1,6;8,000001.SS;399001.SZ,^HSI;^KS11,0.009732407556761302,0.004866203778380651,0.004866203778380651,0.002440531397719888,3.1415842149939976e-15
confirmation,000001.SS+399001.SZ->^HSI+^N100,0;1,6;9,000001.SS;399001.SZ,^HSI;^N100,0.007100337021494596,0.003550168510747298,0.003550168510747298,0.001779452848021633,5.452235884995105e-15
confirmation,000001.SS+399001.SZ->^HSI+^N225,0;1,6;10,000001.SS;399001.SZ,^HSI;^N225,0.012431058378449933,0.0062155291892249664,0.0062155291892249664,0.0031195027015281083,2.2811613709095013e-15
