split,edge_id,source_indices,target_indices,source,target,gc,gaussian_te,gaussian_cmi,canonical_cs,gc_canonical_error
discovery,000001.SS+399001.SZ->IMOEX.ME+^AXJO,0;1,2;3,000001.SS;399001.SZ,IMOEX.ME;^AXJO,0.012742778041122449,0.0063713890205612245,0.0063713890205612245,0.00319872882153667,-1.9029916531465574e-15
discovery,000001.SS+399001.SZ->IMOEX.ME+^DJI,0;1,2;4,000001.SS;399001.SZ,IMOEX.ME;^DJI,0.016911785932339995,0.008455892966169998,0.008455892966169998,0.004248826793815532,9.8879238130678e-16
discovery,000001.SS+399001.SZ->IMOEX.ME+^GSPC,0;1,2;5,000001.SS;399001.SZ,IMOEX.ME;^GSPC,0.020295802075366964,0.010147901037683482,0.010147901037683482,0.005100786208677592,2.796374243274613e-15
discovery,000001.SS+399001.SZ->IMOEX.ME+^HSI,0;1,2;6,000001.SS;399001.SZ,IMOEX.ME;^HSI,0.05748030209656818,0.02874015104828409,0.02874015104828409,0.01466194727674805,3.0461744238152733e-15
discovery,000001.SS+399001.SZ->IMOEX.ME+^IXIC,0;1,2;7,000001.SS;399001.SZ,IMOEX.ME;^IXIC,0.023693879209275792,0.011846939604637896,0.011846939604637896,0.005956714864657078,-2.282896094385478e-15
discovery,000001.SS+399001.SZ->IMOEX.ME+^KS11,0;1,2;8,000001.SS;399001.SZ,IMOEX.ME;^KS11,0.02441851896705316,0.01220925948352658,0.01220925948352658,0.006157255834706161,-7.424616477180734e-16
discovery,000001.SS+399001.SZ->IMOEX.ME+^N100,0;1,2;9,000001.SS;399001.SZ,IMOEX.ME;^N100,0.014093077767725504,0.007046538883862752,0.007046538883862752,0.003540376771825191,5.342948306008566e-16
discovery,000001.SS+399001.SZ->IMOEX.ME+^N225,0;1,2;10,000001.SS;399001.SZ,IMOEX.ME;^N225,0.020784486185387863,0.010392243092693931,0.010392243092693931,0.005232905850377452,9.228728892196614e-16
discovery,000001.SS+399001.SZ->IMOEX.ME+^NZ50,0;1,2;11,000001.SS;399001.SZ,IMOEX.ME;^NZ50,0.023041184916827717,0.011520592458413859,0.011520592458413859,0.005793303779099112,2.5118795932144167e-15
discovery,000001.SS+399001.SZ->IMOEX.ME+^STI,0;1,2;12,000001.SS;399001.SZ,IMOEX.ME;^STI,0.01790707280735404,0.00895353640367702,0.00895353640367702,0.004506098786827014,-2.3939183968479938e-15
discovery,000001.SS+399001.SZ->IMOEX.ME+^STOXX50E,0;1,2;13,000001.SS;399001.SZ,IMOEX.ME;^STOXX50E,0.014161153551370376,0.007080576775685188,0.007080576775685188,0.0035578007424876,8.187894806610529e-16
discovery,000001.SS+399001.SZ->^AXJO+^DJI,0;1,3;4,000001.SS;399001.SZ,^AXJO;^DJI,0.004752104056255035,0.0023760520281275177,0.0023760520281275177,0.0011898037880324864,-1.7780915628762273e-15
discovery,000001.SS+399001.SZ->^AXJO+^GSPC,0;1,3;5,000001.SS;399001.SZ,^AXJO;^GSPC,0.010944508090251048,0.005472254045125524,0.005472254045125524,0.0027456326981093707,-6.279698983036042e-16
discovery,000001.SS+399001.SZ->^AXJO+^HSI,0;1,3;6,000001.SS;399001.SZ,^AXJO;^HSI,0.0660300210010405,0.03301501050052025,0.03301501050052025,0.01690744384772511,-1.124100812432971e-15
discovery,000001.SS+399001.SZ->^AXJO+^IXIC,0;1,3;7,000001.SS;399001.SZ,^AXJO;^IXIC,0.014500294277336678,0.007250147138668339,0.007250147138668339,0.0036403230769611926,3.230055112268815e-15
discovery,000001.SS+399001.SZ->^AXJO+^KS11,0;1,3;8,000001.SS;399001.SZ,^AXJO;^KS11,0.022025639273106634,0.011012819636553317,0.011012819636553317,0.005549439730871459,-9.71445146547012e-16
discovery,000001.SS+399001.SZ->^AXJO+^N100,0;1,3;9,000001.SS;399001.SZ,^AXJO;^N100,0.011659070311640818,0.005829535155820409,0.005829535155820409,0.0029239511963651283,-3.524958103184872e-15
discovery,000001.SS+399001.SZ->^AXJO+^N225,0;1,3;10,000001.SS;399001.SZ,^AXJO;^N225,0.015960894051659125,0.007980447025829562,0.007980447025829562,0.004012398826686412,6.338679581219253e-15
discovery,000001.SS+399001.SZ->^AXJO+^NZ50,0;1,3;11,000001.SS;399001.SZ,^AXJO;^NZ50,0.010445873794360239,0.005222936897180119,0.005222936897180119,0.0026214829549327185,1.3686968225457008e-15
discovery,000001.SS+399001.SZ->^AXJO+^STI,0;1,3;12,000001.SS;399001.SZ,^AXJO;^STI,0.014321380148132334,0.007160690074066167,0.007160690074066167,0.003597334146715733,1.35828848168984e-15
