repetition,gc_low_edge,gc_high_edge,cs_low_edge,cs_high_edge,gc_order_retained,cs_reverse_retained,both_retained
0,0.41025551022697115,0.27141664632288354,0.11724026125544508,0.07442896257865372,0,1,0
1,0.40875784283313976,0.26120653031334484,0.11675548925973538,0.07140221784379276,0,1,0
2,0.2937760998867347,0.18778358356474456,0.0811183694434763,0.05014405080170311,0,1,0
3,0.32348114420127416,0.23754072522717706,0.09000937190467298,0.06431540712751017,0,1,0
4,0.32745656441496607,0.22610919499214788,0.09076471117976699,0.06112691848448618,0,1,0
5,0.2979440899933863,0.2423351065628765,0.08212405539593698,0.06583722739199739,0,1,0
6,0.2478173325712305,0.16724952887742006,0.06744215236406706,0.04433901014923524,0,1,0
7,0.26319634880845655,0.1826913946437898,0.0717648839695591,0.048625613688440934,0,1,0
8,0.33988522235118523,0.26153634847408824,0.095120665694093,0.07150385627245495,0,1,0
9,0.34006591920303464,0.14953115439073272,0.09479422105223002,0.039195660969249535,0,1,0
10,0.43854192105843026,0.20060941995817316,0.1257492535577291,0.05377729632347092,0,1,0
11,0.29585570662369776,0.2299052393658627,0.08153489067259842,0.062231451929944434,0,1,0
12,0.2768771330056943,0.19380460026246737,0.0757802926129966,0.051846140858966015,0,1,0
13,0.403271727774019,0.21154709503444025,0.11502233735879355,0.05682825562740505,0,1,0
14,0.42443551737311935,0.268787215630109,0.12173688048756505,0.0736623905551213,0,1,0
15,0.27640959305730206,0.12483225412595544,0.07587239197434713,0.032638164183332576,0,1,0
16,0.23158367055954088,0.23500625014215615,0.06272640988324146,0.06363051927410218,1,0,0
17,0.34103169248020393,0.16409414106090736,0.09552608791204815,0.04347805307933342,0,1,0
18,0.2761615858911455,0.13138122554697418,0.07556453764611802,0.03442468016562954,0,1,0
19,0.24130943075805078,0.17553717721586182,0.06535887782322058,0.04655686932076926,0,1,0
20,0.3319454743907997,0.21926132071379456,0.09271391723501599,0.05911336913616219,0,1,0
21,0.25886882173963954,0.12739707517562238,0.07052486296406932,0.03331994004970325,0,1,0
22,0.26268865406431274,0.2566803533890152,0.07173299620714436,0.0699252750052117,0,1,0
23,0.22594216108628018,0.16041629260116252,0.06105994638639131,0.04245063146555752,0,1,0
24,0.3246546389950744,0.19265646930879043,0.0904733517463601,0.05149085956814896,0,1,0
25,0.2711666277617013,0.17188956847756032,0.07369674910585053,0.045662267404710306,0,1,0
26,0.2832773510524227,0.15417188521768566,0.07764868879474791,0.040711767772995136,0,1,0
27,0.3030878291902255,0.15979968375544473,0.08388974778330192,0.042203473449915846,0,1,0
28,0.2599192363623857,0.13699941589432996,0.07101985295240684,0.03593557035025908,0,1,0
29,0.427395145045363,0.24408049960799616,0.12264310109956703,0.0663369410955133,0,1,0
30,0.22322724895015966,0.1497801855251879,0.06014654257293038,0.039495319643609264,0,1,0
31,0.2254857539052253,0.19116203721328162,0.06095413690276648,0.0510374531023092,0,1,0
32,0.2847292243197401,0.15441796486691572,0.07833550525490311,0.04077774662607932,0,1,0
33,0.422766483443052,0.2822892778370658,0.1207976989824156,0.0776566104799755,0,1,0
34,0.31076257557835874,0.2270345302999175,0.08612067433510238,0.06125568382741712,0,1,0
35,0.406892321477077,0.2560021981375087,0.1161632920702654,0.0698514937304897,0,1,0
36,0.31157988692900673,0.18231445157249482,0.08645895135169636,0.04859602938075267,0,1,0
37,0.20174151948662455,0.16483395256839017,0.05402482722123582,0.04367015480746808,0,1,0
38,0.2739392953354205,0.2279746694363638,0.07518938098540137,0.061675044666056576,0,1,0
39,0.30250284844328235,0.17295938250898146,0.08359515142689135,0.045947857404729946,0,1,0
40,0.2954206431542872,0.20414313558393715,0.0815427873559562,0.05479914668893539,0,1,0
41,0.256739175573486,0.16353034780244258,0.06999995011492224,0.04322967517743011,0,1,0
42,0.2959016771813694,0.15318425042595862,0.08169015063686112,0.040423895848383705,0,1,0
43,0.28398808070445014,0.21861720292831777,0.0775827584273641,0.05894264592713925,0,1,0
44,0.21332129944509148,0.20393056978642932,0.057274028306681844,0.05474739402005493,0,1,0
45,0.2803720823653464,0.2536899832052484,0.07707645465849945,0.06917381987541012,0,1,0
46,0.3213240393076333,0.17635311660446362,0.08917863890674835,0.0468747604508819,0,1,0
47,0.3374748824629421,0.17787557267325838,0.09407302259590422,0.047271745874840315,0,1,0
48,0.2680078320722714,0.15190742529536294,0.07330332005049563,0.03988587780575154,0,1,0
49,0.3898810165419029,0.24286492113714786,0.110609094664199,0.06598776367650347,0,1,0
50,0.37813945318269404,0.18397382268524254,0.10687252629908649,0.04901717742142355,0,1,0
51,0.22077605629867492,0.11703700339836232,0.0595906172172169,0.03046341382787799,0,1,0
52,0.4177764670015556,0.23799544049921906,0.11940167477591584,0.06456865624561849,0,1,0
53,0.3460708566637294,0.23345203375758672,0.09559240831185062,0.06324743976818963,0,1,0
54,0.3542662150304423,0.27429004899387266,0.09960400761727317,0.07529905929136782,0,1,0
55,0.2828649031477042,0.24403420967814426,0.07782884498099722,0.06634678581445894,0,1,0
56,0.2780412144358735,0.17949578841925273,0.07632680280329324,0.04775008648171761,0,1,0
57,0.31951748801742497,0.15903846011361367,0.0888159224013716,0.0420607339982936,0,1,0
58,0.24415114200086663,0.1959101894336115,0.06639426128932158,0.05228753640651008,0,1,0
59,0.1976459886203621,0.13583880519470526,0.0529390985324544,0.0356469213283236,0,1,0
60,0.4863571726132072,0.31426339541422266,0.14193366364141263,0.08723521646202971,0,1,0
61,0.3266441831196545,0.2261038150939001,0.09078522820425565,0.06106814098361071,0,1,0
62,0.32347759886339134,0.18217087464883974,0.09013677697034889,0.048549548057917925,0,1,0
63,0.25303455388140605,0.1806340806919664,0.06900318082528498,0.0481180567858505,0,1,0
64,0.3132192902452715,0.19575704590522136,0.08691711208702672,0.05241195935585274,0,1,0
65,0.39872599248590035,0.26491612604183956,0.1133339198519567,0.07239830979013953,0,1,0
66,0.43811628930281543,0.23934133646354638,0.12615164642639734,0.06471778004743359,0,1,0
67,0.26967029808794507,0.14056427758600165,0.07374660546186278,0.036945252593490824,0,1,0
68,0.38323673033563566,0.30554677069374137,0.10858875753385107,0.08468251297643932,0,1,0
69,0.24254368581566865,0.14358700802169366,0.0659186176701847,0.03773939243321929,0,1,0
70,0.3003454531171741,0.18317662693168302,0.08290091145854186,0.04852444964777268,0,1,0
