repetition,status,standardized_slope,directional_accuracy,predicted_reversal_fraction,reversal_risk_difference,temporal_predicted_sign_retention,temporal_both_signs_retention
0,ok,0.9999999999718632,0.5436547714514836,0.0906821132527714,0.0906821132527714,0.5125695254518098,0.0007704160246533128
1,ok,0.9999999999753064,0.5531389590558148,0.10213912943740322,0.10213912943740322,0.5070074893070278,0.0001926040061633282
2,ok,0.999999999966101,0.5522001725625539,0.10071077477987199,0.10071077477987199,0.5233723859275414,0.0001926040061633282
3,ok,0.999999999968062,0.5502021177356268,0.09867838520316138,0.09867838520316138,0.5161197612889047,0.0001926040061633282
4,ok,0.999999999950067,0.5653977990257983,0.12927710843373494,0.12927710843373494,0.4997548646683911,0.0
5,ok,0.9999999999271971,0.582448658960835,0.16296229640961038,0.16296229640961038,0.5351726936146473,0.0
6,ok,0.9999999999850072,0.5689694297662657,0.13423408757935862,0.13423408757935862,0.5156125847407482,0.0005778120184899846
7,ok,0.9999999999708564,0.5445705832488407,0.08501970213050157,0.08501970213050157,0.5111494311169719,0.0
8,ok,0.9999999999851769,0.5505721274604765,0.10360183366077276,0.10360183366077276,0.49963652347382126,0.0003852080123266564
9,ok,0.9999999999844481,0.5391835814761292,0.0854120618882223,0.0854120618882223,0.5322141637504015,0.0
10,ok,0.9999999999663275,0.5957260684828792,0.19037290397931092,0.19037290397931092,0.5273114571182228,0.0001926040061633282
11,ok,0.9999999999597017,0.5383654735066578,0.0712024800130527,0.0712024800130527,0.5243867390238542,0.0001926040061633282
12,ok,0.9999999999784746,0.5262468812529335,0.05075853193753557,0.05075853193753557,0.5243867390238542,0.0005778120184899846
13,ok,0.9999999999761781,0.5717631485158596,0.14266784452296818,0.14266784452296818,0.518232996906223,0.0007704160246533128
14,ok,0.9999999999801795,0.569332629823158,0.13464432284541725,0.13464432284541725,0.5377592940102449,0.0005778120184899846
15,ok,0.999999999951002,0.5620395846276738,0.12111497016653308,0.12111497016653308,0.5325184696792954,0.0
16,ok,0.9999999999851824,0.5467992787106953,0.09257587724246868,0.09257587724246868,0.5338202228195635,0.0003852080123266564
17,ok,0.9999999999801111,0.5463773244964931,0.0983244867941421,0.0983244867941421,0.5219861033625806,0.0
18,ok,0.9999999999717669,0.5953347071445263,0.1966597781620345,0.1966597781620345,0.5290527632668932,0.0001926040061633282
19,ok,0.999999999972798,0.5515599214145384,0.10344394167923579,0.10344394167923579,0.4829504150394752,0.0
20,ok,0.9999999999694572,0.6608359299452026,0.31725569926893626,0.31725569926893626,0.5045392301059999,0.0005778120184899846
21,ok,0.9999999999687714,0.5651953125,0.12862063566619697,0.12862063566619697,0.4589609643116769,0.0
22,ok,0.999999999974765,0.5632089263808836,0.1219174380109452,0.1219174380109452,0.5452824128078985,0.0
23,ok,0.9999999999832004,0.5398234815002737,0.08262350936967632,0.08262350936967632,0.5084952071816199,0.000963020030816641
24,ok,0.9999999999694376,0.590599466908242,0.1789532527426455,0.1789532527426455,0.5344795523321668,0.0007704160246533128
25,ok,0.9999999999723914,0.563051316721396,0.12500402926860715,0.12500402926860715,0.5051140301939105,0.0003852080123266564
26,ok,0.9999999999194834,0.5839586879158286,0.16491323420940254,0.16491323420940254,0.5102534192152288,0.0001926040061633282
27,ok,0.9999999999746695,0.6291076691262825,0.2613415710503089,0.2613415710503089,0.5146658551841896,0.0011556240369799693
28,ok,0.9999999999798416,0.6111507769844603,0.22535977242302543,0.22535977242302543,0.5200081148247705,0.0
29,ok,0.9999999999823049,0.5676158110636252,0.13935294318608862,0.13935294318608862,0.5158154553600108,0.0
30,ok,0.9999999999870608,0.531172499311105,0.05516347733530787,0.05516347733530787,0.5058240773613295,0.0005778120184899846
31,ok,0.9999999999685313,0.5399996573171358,0.08306294613887086,0.08306294613887086,0.4967963348041453,0.0003852080123266564
32,ok,0.9999999999465631,0.6132388121941049,0.232591560336193,0.232591560336193,0.5144460786799885,0.0001926040061633282
33,ok,0.9999999999694409,0.5588062334607469,0.11370348493797992,0.11370348493797992,0.5283765278693513,0.0007704160246533128
34,ok,0.9999999999828011,0.5345597491746039,0.07288512490537472,0.07288512490537472,0.5367449409139321,0.0001926040061633282
35,ok,0.9999999999799576,0.5379522638328151,0.08154480044277719,0.08154480044277719,0.5319436695913847,0.0
36,ok,0.9999999999785324,0.5697418328643093,0.14375285344696392,0.14375285344696392,0.485384862470626,0.0003852080123266564
37,ok,0.9999999999852095,0.5399318504219132,0.07682601167943187,0.07682601167943187,0.533651163970178,0.0
38,ok,0.9999999999758022,0.5446312450436162,0.0895512922149992,0.0895512922149992,0.4854186742405031,0.0001926040061633282
39,ok,0.9999999999403532,0.6140480264322379,0.23638592190509544,0.23638592190509544,0.49011851025341924,0.0
40,ok,0.9999999999827653,0.5360226748401555,0.07498423044575274,0.07498423044575274,0.5224256563709827,0.0005778120184899846
41,ok,0.9999999999674564,0.6624832546005781,0.3255213225624648,0.3255213225624648,0.4855539213200115,0.000963020030816641
42,ok,0.9999999999669352,0.5479833101529903,0.09513715316227418,0.09513715316227418,0.5560683673986915,0.0
43,ok,0.9999999999822942,0.5655602890422778,0.12794631017779343,0.12794631017779343,0.48122601477574345,0.0001926040061633282
44,ok,0.9999999999809579,0.5556688417618271,0.10556201682971882,0.10556201682971882,0.5221044445571503,0.0
45,ok,0.9999999999767532,0.6205039222065575,0.23960596841952775,0.23960596841952775,0.4790282497337323,0.0005778120184899846
46,ok,0.9999999999651246,0.5354670871107607,0.07378182961332914,0.07378182961332914,0.5212422444252844,0.0
47,ok,0.9999999999739817,0.5689021092482422,0.14626918957515173,0.14626918957515173,0.52036313840848,0.0003852080123266564
48,ok,0.9999999999772259,0.554783828816978,0.10783073246168987,0.10783073246168987,0.49309394600260353,0.0001926040061633282
49,ok,0.9999999999625256,0.6475042389612803,0.2976675305442429,0.2976675305442429,0.5166100319521225,0.0005778120184899846
50,ok,0.9999999999750505,0.5773715319272633,0.1537043624486628,0.1537043624486628,0.522865209379385,0.0007704160246533128
51,ok,0.9999999999360536,0.549463775666014,0.1081715382974184,0.1081715382974184,0.5317407989721222,0.0007704160246533128
52,ok,0.9999999999794249,0.5417987513669902,0.08550904821107888,0.08550904821107888,0.5327889638383121,0.0003852080123266564
53,ok,0.9999999999818788,0.5318040952637015,0.057647393904870406,0.057647393904870406,0.5162550083684131,0.0
54,ok,0.9999999999739219,0.5779986255748797,0.157467018469657,0.157467018469657,0.511927101824145,0.0003852080123266564
55,ok,0.9999999999751017,0.5683078264842079,0.14250948688335258,0.14250948688335258,0.5180977498267146,0.0
56,ok,0.9999999999714203,0.5533772777209531,0.10400516795865633,0.10400516795865633,0.5153759023516086,0.0005778120184899846
57,ok,0.9999999999841984,0.5550345575281204,0.10932074652777778,0.10932074652777778,0.5050295007692177,0.0005778120184899846
58,ok,0.9999999999762283,0.5444866676287139,0.09155154771041187,0.09155154771041187,0.5098476779767037,0.0003852080123266564
59,ok,0.9999999999658792,0.5841007803629679,0.1689354652837799,0.1689354652837799,0.4998732058629609,0.0
60,ok,0.9999999999805356,0.5452898765198243,0.0881724514505484,0.0881724514505484,0.5365758820645466,0.0003852080123266564
61,ok,0.9999999999762208,0.5526107803361611,0.10511154048831899,0.10511154048831899,0.5225270916806141,0.0003852080123266564
62,ok,0.9999999999774791,0.5887276785714286,0.17755734655920644,0.17755734655920644,0.5130597961150276,0.0
63,ok,0.9999999999699296,0.5377345292316301,0.08028700439166203,0.08028700439166203,0.5265337864110496,0.0003852080123266564
64,ok,0.9999999999864981,0.5398918918918919,0.08438112540039203,0.08438112540039203,0.536863282108502,0.0001926040061633282
65,ok,0.9999999999326057,0.5938989513822688,0.18957660487545902,0.18957660487545902,0.5224594681408599,0.0001926040061633282
66,ok,0.9999999999884895,0.5386781922487864,0.07471428943326477,0.07471428943326477,0.5077006305895082,0.0003852080123266564
67,ok,0.9999999999363739,0.5815733020766526,0.16305405644519155,0.16305405644519155,0.5087995131105137,0.0007704160246533128
68,ok,0.9999999999833404,0.5510388186473846,0.10514522821576763,0.10514522821576763,0.518232996906223,0.0001926040061633282
69,ok,0.9999999999787673,0.5559686348361121,0.1056211373074785,0.1056211373074785,0.5193487853121672,0.0003852080123266564
70,ok,0.9999999999796886,0.5294339338207583,0.06204927884615385,0.06204927884615385,0.5331270815370831,0.0003852080123266564
71,ok,0.9999999999742817,0.534819750294176,0.07676442934700191,0.07676442934700191,0.4959341346722794,0.0005778120184899846
72,ok,0.999999999969376,0.5800668031462127,0.16036882243957085,0.16036882243957085,0.5428986830315633,0.0003852080123266564
73,ok,0.9999999999829455,0.5454602993765626,0.08919116015092425,0.08919116015092425,0.5457219658163006,0.0011556240369799693
74,ok,0.9999999999839874,0.5421870451741679,0.08410748454008486,0.08410748454008486,0.5187908911091951,0.0005778120184899846
75,ok,0.9999999999722137,0.5596541588600306,0.11245842572062084,0.11245842572062084,0.5098814897465808,0.0005778120184899846
76,ok,0.9999999999662399,0.5435447685090761,0.09074792243767313,0.09074792243767313,0.5156125847407482,0.0
77,ok,0.9999999999804076,0.5527082941508369,0.10519219915971656,0.10519219915971656,0.5402782708660885,0.0001926040061633282
78,ok,0.9999999999777008,0.550961507797302,0.10086206896551723,0.10086206896551723,0.5350543524200775,0.0001926040061633282
79,ok,0.9999999999127688,0.5551510881478002,0.11075466531043386,0.11075466531043386,0.5448090480296192,0.0
80,ok,0.9999999999683096,0.5428009556469308,0.09459285484390087,0.09459285484390087,0.5270071511893291,0.0001926040061633282
81,ok,0.9999999999841768,0.544546264477536,0.09209691741722695,0.09209691741722695,0.5086642660310053,0.0
82,ok,0.9999999999827854,0.5651337336244542,0.12855502078319841,0.12855502078319841,0.5419519534750047,0.0005778120184899846
83,ok,0.9999999999398017,0.5644450440726749,0.13346257083209068,0.13346257083209068,0.5423238829436526,0.0
84,ok,0.99999999996723,0.5363150953713532,0.07474326059050064,0.07474326059050064,0.5182837145610387,0.0003852080123266564
85,ok,0.999999999974386,0.5499521395398306,0.10022326966013397,0.10022326966013397,0.5044716065662457,0.0
86,ok,0.99999999998439,0.528380932917795,0.060481921579603574,0.060481921579603574,0.5041673006373518,0.0001926040061633282
87,ok,0.9999999999801168,0.5731214197461529,0.14760716588634387,0.14760716588634387,0.5219522915927034,0.0001926040061633282
88,ok,0.9999999999524694,0.684248039914469,0.37136700478267726,0.37136700478267726,0.5089178543050836,0.0007704160246533128
89,ok,0.9999999999901109,0.5282126217197063,0.05273789769857875,0.05273789769857875,0.5143953610251729,0.0
90,ok,0.9999999999760841,0.5521698698078116,0.09872422720608877,0.09872422720608877,0.5308616929553177,0.0
91,ok,0.9999999998512945,0.6515710382513661,0.30276107162383814,0.30276107162383814,0.5082247130226032,0.0003852080123266564
92,ok,0.9999999999745536,0.5523630167697964,0.10695244570079078,0.10695244570079078,0.5230849858835861,0.0001926040061633282
93,ok,0.9999999999628575,0.5927495598878529,0.18409823216929375,0.18409823216929375,0.5177765380128823,0.0001926040061633282
